,business_id,name,address,city,state,latitude,longitude,stars,review_count,is_open,categories,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
226,sm5Sl7z9Kx1yXExrdGuZ7g,Cho Buffet,6302 Robinson Centre Dr,Pittsburgh,PA,40.4526444,-80.1602414,1.5,7,0,"Buffets, Restaurants",,,,,2,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-21:30
244,goar7zF4G0LdsQ1Y4KS3Iw,Pittsburgh Barbecue Company,1000 Banksville Rd,Pittsburgh,PA,40.41989926,-80.03005164,4,91,1,"Caterers, Event Planning & Services, Restaurants, Barbeque",TRUE,TRUE,TRUE,,2,,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
302,grZ6FnfZoj1pQWElAQve3g,Wendy's,2410 W. Liberty,Pittsburgh,PA,40.4002348,-80.0241271,2,22,1,"Fast Food, Restaurants, Burgers",TRUE,FALSE,TRUE,,1,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
383,1YC7AbQMlNb5mLUlwwaa3w,Bites and Brews,5750 Ellsworth Ave,Pittsburgh,PA,40.4556962,-79.9308834,3.5,85,0,"Pizza, Barbeque, Chicken Wings, Nightlife, Restaurants, Bars, Beer Bar",TRUE,TRUE,FALSE,,2,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-0:0,16:0-0:0,
544,y-0Twdg0sIhrh7BFJii8LA,Duquesne Club,325 6th Ave,Pittsburgh,PA,40.441961,-79.998665,5,3,1,"Arts & Entertainment, Social Clubs, Signature Cuisine, Restaurants",,,FALSE,,,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,
579,SqoscicPMzL5mJC5JNaD0w,Chaz & Odette,5102 Baum Blvd,Pittsburgh,PA,40.4553023,-79.9436172,3.5,49,0,"Tapas Bars, Gluten-Free, Restaurants, American (Traditional), American (New), Soul Food, African",TRUE,TRUE,FALSE,,2,,,11:0-21:0,11:0-21:0,11:0-21:0,17:0-22:0,
648,keOzwoc28Iac5mA8FD93uA,Bama's Southern Kitchen,600 Brookline Blvd,Pittsburgh,PA,40.3951787,-80.0225039,4.5,16,0,"Restaurants, Soul Food, Barbeque",TRUE,TRUE,TRUE,,2,,11:0-20:0,11:0-20:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-19:0
656,ijNQXC2cBhbkf6iB6D8OJw,Genoa Pizza & Bar,111 Market St,Pittsburgh,PA,40.4388711,-80.0038533,3,68,1,"Food, Restaurants, Bars, Nightlife, Italian, Pizza, Food Delivery Services",TRUE,TRUE,TRUE,,2,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-3:0,10:0-3:0,10:0-2:0
723,LTPcaw-_IqOfTSDxe8811A,Duke's Pub and Pizza,329 Castle Shannon Blvd,Pittsburgh,PA,40.3762608,-80.0367425,3,16,0,"Restaurants, American (New), Pizza",TRUE,,TRUE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
902,FAhFnSJn9owENi61iI8jwQ,Leo. a public house,1207 Allegheny Ave,Pittsburgh,PA,40.45401887,-80.0198857,4.5,16,1,"Cocktail Bars, Pubs, Restaurants, American (New), Bars, Nightlife",TRUE,TRUE,,,,,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-22:0
968,xzR3J-4vpt6K4ZHr8nQLCA,Archie's,2328 E Carson St,Pittsburgh,PA,40.4280498,-79.9718346,3.5,57,1,"Bars, Beer Bar, Chicken Wings, Nightlife, Restaurants",TRUE,TRUE,FALSE,,1,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,11:0-2:0,12:0-2:0
1066,lPljcKGwLlcwkLT5cl0yDg,Bruegger's Bagels,411 Seventh Ave,Pittsburgh,PA,40.44289,-79.996284,3,14,0,"Restaurants, Breakfast & Brunch, Sandwiches, Bagels, Food",TRUE,TRUE,TRUE,,1,,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,6:0-16:0,
1263,J5JzAUd2wzyArZ-qHT0A4A,Poros,2 Ppg Pl,Pittsburgh,PA,40.44021728,-80.00292191,3.5,143,0,"Mediterranean, Restaurants, Seafood, Turkish, Greek, Middle Eastern, Lebanese",TRUE,TRUE,FALSE,,2,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,16:0-23:0,16:0-21:0
1438,Aes4MuZLnFqglFJNMZxRbw,Lydiah's Coffee House,200 Grant St,Pittsburgh,PA,40.4371691,-79.9981261,4.5,27,0,"Ethnic Food, Imported Food, Specialty Food, Food, African, Coffee & Tea, Restaurants",TRUE,TRUE,FALSE,,1,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,,
1521,X2f2s37_cFKo4xpzGFqk1w,Hokkaido Seafood Buffet,4612 Browns Hill Rd,Pittsburgh,PA,40.41547109,-79.92414328,3,243,1,"Sushi Bars, Japanese, Seafood, Restaurants, Buffets",TRUE,TRUE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,11:0-22:0
1565,H6skMpg_g-sOrfTQf_Q5LQ,Thai Hana,3608 5th Ave,Pittsburgh,PA,40.4415006,-79.958821,3,133,0,"Thai, Restaurants, Sushi Bars, Japanese",TRUE,TRUE,TRUE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,,
1598,tuB82m4oIlKLyWeQjEF16g,Tasty N Healthy,11633 Penn Hills Dr,Pittsburgh,PA,40.4646762,-79.827253,4.5,37,1,"Desserts, Greek, Food, Event Planning & Services, Caterers, Falafel, Restaurants, Wraps, Mediterranean",TRUE,TRUE,TRUE,,1,0:0-0:0,10:30-19:0,,10:30-19:0,10:30-19:0,11:0-18:0,
1612,1zl7-8t8jQ4NX29qRp8soA,City Fresh Pasta,2107 Murray Ave,Pittsburgh,PA,40.4335076,-79.9228533,4.5,28,0,"Italian, Restaurants, Specialty Food, Food",TRUE,,TRUE,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,
1739,nF5TXLMmC6IJgQxE9CEZPw,Sun Penang,5829 Forbes Ave,Pittsburgh,PA,40.4382561,-79.9218667,3,155,0,"Singaporean, Restaurants, Malaysian",TRUE,TRUE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
1840,FKtVtuM5vg1YN3Yn5yF1tA,Dairy Queen Orange Julius,"100 Robinson Ctr Dr, Ste 2560",Pittsburgh,PA,40.453736,-80.157185,1.5,3,1,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Juice Bars & Smoothies",TRUE,,,,1,0:0-0:0,10:0-17:0,11:0-17:0,10:0-21:0,10:0-21:30,10:0-21:30,11:0-18:0
1884,QIXz6e0SZ4okLBFBsO79_Q,Ace Hotel Pittsburgh,120 S Whitfield St,Pittsburgh,PA,40.4612819,-79.9264254,4,98,1,"Cocktail Bars, American (Traditional), Bars, Hotels, Nightlife, Restaurants, American (New), Hotels & Travel, Food, Coffee & Tea, Event Planning & Services, Venues & Event Spaces",TRUE,TRUE,TRUE,,2,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
2089,HDMoo6OIY4qIIKWfvbYK_A,Max & Erma's,1910 Cochran Rd,Pittsburgh,PA,40.3932957,-80.0656653,2.5,19,0,"American (New), Restaurants, American (Traditional), Burgers, Sandwiches, Salad",TRUE,TRUE,TRUE,,2,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-1:0,11:0-23:0
2303,#NAME?,Donut Connection,2414 Brownsville Rd,Pittsburgh,PA,40.3867139,-79.9822249,4,12,1,"Coffee & Tea, Breakfast & Brunch, Donuts, Restaurants, Food",TRUE,,TRUE,,1,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30
2490,dHiq1JliKgh_3z-KnTpCaA,Roxanne's Catering,4124 Main St,Pittsburgh,PA,40.4649486,-79.9544552,4,3,1,"Caterers, Seafood, Food, Event Planning & Services, Restaurants, Soul Food, Southern",TRUE,TRUE,TRUE,,1,,,,,12:0-18:0,9:0-14:0,11:0-15:0
2498,oCvxJBOs-Mbg-4oanPO7lQ,Pita Pit,2763 East Carson St,Pittsburgh,PA,40.426647,-79.965902,3.5,57,1,"Fast Food, Greek, Breakfast & Brunch, Restaurants, Sandwiches, Mediterranean",TRUE,TRUE,TRUE,,1,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,11:0-22:0
2639,a3ZqjElMgAe924sbXZVcvA,Sciulli's Pizza,3404 5th Ave,Pittsburgh,PA,40.4391344,-79.961805,4.5,20,1,"Pizza, Restaurants",FALSE,,TRUE,,1,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,,
2643,7ULRdJfVo2-Og5ZoGOECFg,Mediterrano,2193 Babcock Blvd,Pittsburgh,PA,40.510325,-79.993322,3.5,66,0,"Restaurants, Seafood, Greek, Food, Mediterranean",TRUE,FALSE,TRUE,,2,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,16:0-22:0
2839,Rp8D7pO3iTcd7zYV8G93yQ,Tisha's Sunny Farms,600 Brookline Blvd,Pittsburgh,PA,40.39518356,-80.02251434,4,9,0,"Diners, Restaurants",TRUE,,TRUE,,1,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0
2871,uE6hI5_i4QVq12xU99xtqA,Fazio's Pizza,4028 Penn Ave,Pittsburgh,PA,40.4652007,-79.9568209,4,77,1,"Restaurants, Pizza",TRUE,,TRUE,,1,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-20:0
2948,0EcCWB9_VxTOoAh_1Wr_RQ,Blue Line Grille,1014 Fifth Ave,Pittsburgh,PA,40.4387705,-79.9903134,3,83,0,"Nightlife, Sports Bars, American (New), Restaurants, Bars, Food",TRUE,FALSE,FALSE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,10:0-21:0
3024,-8F04F54iDT6VgWPCgybug,Ineffable Ca Phe,3920 Penn Ave,Pittsburgh,PA,40.464681,-79.959312,4.5,131,1,"Coffee & Tea, Restaurants, Food, Vietnamese, Breakfast & Brunch",TRUE,TRUE,TRUE,,1,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
